ID,Title,Pay,OT Pay,Other Pay,Benefits,Compensation,Employment
115708,Locksmith Supervisor 1,103408.02,24389.74,10119.71,36477.48,174394.95,FT
115709,Dep Dir I,125098.55,0,0,49296.01,174394.56,FT
115710,Attorney (Civil/Criminal),129936.43,0,1250,43196.17,174382.6,FT
115711,Police Officer 3,118364.09,6535,10480.82,38996.38,174376.29,FT
115712,IS Business Analyst-Principal,131945.08,379.58,0,42045.73,174370.39,FT
115713,Police Officer 3,118898,14858.68,1771.85,38840.81,174369.34,FT
115714,Police Officer 3,120671.12,7124.26,6637.07,39935.09,174367.54,FT
115715,Police Officer 3,118869.78,11789.8,2954.54,40750.7,174364.82,FT
115716,Deputy Sheriff,94191.02,31487.05,11276.04,37401.23,174355.34,FT
115717,Engineer,131071.02,0,1171.5,42109.07,174351.59,FT
115718,Registered Nurse,109077.18,6491.89,17606.23,41157.88,174333.18,PT
115719,Manager I,124582.94,0,0,49747.16,174330.1,FT
115720,Firefighter,112703.74,0,18277.07,43345.64,174326.45,FT
115721,Registered Nurse,108114.82,6182.37,17373.47,42636.24,174306.9,PT
115722,Dep Dir II,124661.23,0,0,49639.33,174300.56,FT
115723,Registered Nurse,109115.71,5405.26,23336.71,36436.78,174294.46,PT
115724,Police Officer 3,118898,1592.34,13641.53,40143.59,174275.46,FT
115725,Registered Nurse,129115,743.7,359.41,44050.99,174269.1,FT
115726,Police Officer 3,118898.16,12813.38,3704.82,38846.23,174262.59,FT
115727,IS Engineer-Senior,131002.03,0,0,43259,174261.03,FT
115728,Police Officer 2,116584.02,14147.43,5162.44,38356.83,174250.72,FT
115729,Engineer,131071.02,0,0,43169.69,174240.71,FT
115730,Engineer,131071.06,0,0,43168.29,174239.35,FT
115731,Engineer,131071,0,0,43166.17,174237.17,FT
115732,Registered Nurse,108315.13,5482.8,17877.86,42555.9,174231.69,PT
115733,Registered Nurse,110666.49,12778.68,16876.71,33898.32,174220.2,PT
115734,Registered Nurse,113146.88,5312.87,17397.79,38340.64,174198.18,PT
115735,Police Officer 3,118898.16,15516.08,929.21,38852.72,174196.17,FT
115736,Deputy Sheriff,94191,26375.83,15371.27,38237.84,174175.94,FT
115737,Deputy Sheriff,93833.3,35466.42,8972.08,35902.53,174174.33,FT
115738,Police Officer,91344.6,42798.01,4630.09,35397.24,174169.94,FT
115739,IS Engineer-Senior,132101.89,0,0,42061.22,174163.11,FT
115740,EMT/Paramedic/Firefighter,109991.41,16929.44,9028.14,38186.36,174135.35,FT
115741,Registered Nurse,129115.01,743.7,250,44025.07,174133.78,FT
115742,IS Business Analyst-Principal,132062.07,0,0,42070.86,174132.93,FT
115743,Police Officer,112164.01,21184.11,3339.19,37428.52,174115.83,FT
115744,Police Officer 3,118898.13,8109.92,8276.01,38826.52,174110.58,FT
115745,Police Officer 3,118898.12,11700.51,2819.74,40689.01,174107.38,FT
115746,Police Officer 2,114273,12739.6,8755.96,38338.41,174106.97,FT
115747,Police Officer 2,116584.01,18331.9,821.64,38356.82,174094.37,FT
115748,Physician Specialist,130872.76,0,5340,37881.34,174094.1,PT
115749,Firefighter,112703.74,0,17951.35,43423.52,174078.61,FT
115750,Firefighter,112703.74,8324.29,11174.7,41873.92,174076.65,FT
115751,"Sr. Stationary Eng, Sew Plant",98100,32094.33,6912.11,36958.43,174064.87,FT
115752,Registered Nurse,122445.02,5046.92,5215.7,41355.24,174062.88,PT
115753,Firefighter,112703.71,8771.3,10709.48,41873.92,174058.41,FT
115754,Police Officer 3,118898.03,9384.85,6413.43,39337.13,174033.44,FT
115755,"Manager III, MTA",123794.52,0,1038.42,49195.93,174028.87,FT
115756,Police Officer 3,118898.15,8713.44,7066.23,39342.42,174020.24,FT
115757,Registered Nurse,129620.3,0,250,44135.93,174006.23,FT
115758,Police Officer 3,118898.03,11491.42,4774.2,38837.62,174001.27,FT
115759,Attorney (Civil/Criminal),130629.01,0,1312.5,42049.97,173991.48,FT
115760,Physician Specialist,141502.76,0,900,31587.55,173990.31,PT
115761,Police Officer 3,118898.22,12000.58,4238.92,38826.56,173964.28,FT
115762,Engineer,131833.17,0,0,42102.22,173935.39,FT
115763,Firefighter,112703.72,0,18487.6,42675.15,173866.47,FT
115764,Police Officer 3,118898.01,14549.63,1566.42,38840.82,173854.88,FT
115765,Firefighter,112703.75,0,17634.26,43516.61,173854.62,FT
115766,Police Officer 2,116584.01,12799.62,6107.72,38350.39,173841.74,FT
115767,Police Officer 2,116584.01,8966.27,9933.28,38356.8,173840.36,FT
115768,Registered Nurse,126992.97,692.41,2153.93,43994.2,173833.51,PT
115769,Attorney (Civil/Criminal),130491.12,0,1312.5,42019.72,173823.34,FT
115770,Attorney (Civil/Criminal),130491.11,0,1312.5,42019.71,173823.32,FT
115771,Police Officer 3,118898.13,8351.11,7725.82,38839.66,173814.72,FT
115772,Police Officer 3,118898.17,9329.99,6748.72,38833.08,173809.96,FT
115773,Manager II,124645.23,0,0,49148.31,173793.54,FT
115774,Police Officer 3,118898.16,6412.92,9630.06,38833.1,173774.24,FT
115775,Water Operations Analyst,119539.04,1452.54,11950.93,40818.08,173760.59,FT
115776,Public Health Nurse,129115,0,542.1,44093.2,173750.3,FT
115777,Construction Inspector,97475.5,41091.82,0,35170.15,173737.47,FT
115778,Police Officer 2,116584.01,11996.52,6801.52,38350.38,173732.43,FT
115779,Police Officer 3,118364.11,6567.77,9814.3,38975.41,173721.59,FT
115780,Sr District Atty Investigator,113393.02,14894.46,6803.66,38619.83,173710.97,FT
115781,Principal Personnel Analyst,131696,0,0,41992.33,173688.33,FT
115782,Firefighter,97476.51,29655.29,6316.06,40239.74,173687.6,FT
115783,Police Officer 3,118898.14,13992.37,1955.97,38839.66,173686.14,FT
115784,Police Officer 2,116584,11998.23,6740.37,38363.24,173685.84,FT
115785,Deputy Sheriff,94191,29001.07,13005.41,37484.16,173681.64,FT
115786,Police Officer,112164.02,15407.43,8674.39,37434.72,173680.56,FT
115787,Firefighter,111640.48,9509.69,11057.71,41472.11,173679.99,FT
115788,Police Officer 2,105973.73,20028.26,9543.65,38112.69,173658.33,FT
115789,Registered Nurse,111495.08,6764.37,18494.43,36898.6,173652.48,PT
115790,Police Officer 3,118898.08,10784.08,5126.72,38839.6,173648.48,FT
115791,Registered Nurse,129326.9,0,250,44071.56,173648.46,FT
115792,Communication Line Sprv1,100922.26,25919.26,10868.8,35920,173630.32,FT
115793,"Manager III, MTA",122992.03,0,0,50637.22,173629.25,FT
115794,Manager II,122992.01,0,0,50637.22,173629.23,FT
115795,"Manager III, MTA",122992.01,0,0,50637.21,173629.22,FT
115796,Manager II,122992.02,0,0,50637.2,173629.22,FT
115797,Manager II,122992.01,0,0,50637.2,173629.21,FT
115798,Manager II,122989.58,0,0,50636.69,173626.27,FT
115799,Registered Nurse,117001.99,12017.25,5292.56,39309.08,173620.88,PT
115800,Manager III,124179.47,0,0,49429.21,173608.68,FT
115801,Police Officer 2,116331.78,16907.84,2096.73,38259.44,173595.79,FT
115802,"Chf Stationary Eng, Sew Plant",109998.65,16481.57,8037.37,39069.37,173586.96,FT
115803,Firefighter,104850.37,18137.13,11525.34,39066.3,173579.14,FT
115804,Police Officer 3,118898.16,13652.93,2162.86,38826.54,173540.49,FT
115805,Firefighter,112703.72,0,17687,43145.21,173535.93,FT
115806,Registered Nurse,120515.33,1336.48,8758.8,42917.09,173527.7,FT
115807,Firefighter,111640.49,5813.73,13916.93,42155.3,173526.45,FT
115808,Deputy Sheriff,94191.01,39870.19,14393.57,25059.02,173513.79,FT
115809,Firefighter,112703.75,7410.48,11403.39,41989.37,173506.99,FT
115810,Police Officer 3,118383.58,11478.91,4949.52,38691.06,173503.07,FT
115811,Police Officer 2,116584,7323.3,10719.78,38847.7,173474.78,FT
115812,Registered Nurse,125833.51,0,3022.02,44615.85,173471.38,FT
115813,Police Officer 3,118898.18,9587.23,6128.82,38833.12,173447.35,FT
115814,Registered Nurse,117813.1,7838.82,7909.81,39861.01,173422.74,PT
115815,Engineer,126001.38,0,6075.89,41340.26,173417.53,FT
115816,"Lieutenant, Fire Suppression",118001.3,6275.22,7769.11,41358.44,173404.07,FT
115817,Police Officer 2,113184.03,14075.1,8115.42,38026.33,173400.88,FT
115818,Registered Nurse,129115.05,0,250,44030.65,173395.7,FT
115819,Registered Nurse,129115.02,0,250,44025.07,173390.09,FT
115820,Firefighter,112703.74,1690.55,16215.74,42769.91,173379.94,FT
115821,Engineer,130363.08,0,0,43015.21,173378.29,FT
115822,Registered Nurse,109741.67,9501.73,16456.56,37672.26,173372.22,PT
115823,Registered Nurse,113554.37,1324.58,19744.52,38747.46,173370.93,PT
115824,Firefighter,111640.46,0,18739.61,42985.16,173365.23,FT
115825,Registered Nurse,129339.46,0,710.16,43303.41,173353.03,FT
115826,Senior Deputy Sheriff,104411.01,13992.96,16920.13,38026.9,173351,FT
115827,Police Officer 3,118898.14,11023.43,4585.48,38833.09,173340.14,FT
115828,Registered Nurse,116742.84,13175.94,4512.62,38903.01,173334.41,PT
115829,Building Inspector,112125.4,13742.65,8438.5,39023.97,173330.52,FT
115830,Registered Nurse,109851.94,5320.48,18052.82,40078.59,173303.83,PT
115831,Police Officer 3,118898.08,7838.41,7710.57,38851.67,173298.73,FT
115832,Registered Nurse,118277.92,2546.15,10532.65,41937.96,173294.68,PT
115833,Firefighter,112616.12,3551.22,15370.56,41754.37,173292.27,FT
115834,Police Officer 3,118898.1,8506.5,7037.19,38826.52,173268.31,FT
115835,Engineer,131071.02,0,0,42174.49,173245.51,FT
115836,Transit Supervisor,90315.6,39796.48,7662.52,35448.37,173222.97,FT
115837,Registered Nurse,123924.64,9138.71,1080.49,39072.69,173216.53,FT
115838,Lieutenant 3,66682.01,2323.46,84443.44,19756.6,173205.51,PT
115839,EMT/Paramedic/Firefighter,112739.8,12142.18,9541.84,38758.45,173182.27,FT
115840,Transit Power Line Worker,97977,39209.93,630,35353.24,173170.17,FT
115841,Police Officer 2,116584.02,16103.88,2038.29,38411.46,173137.65,FT
115842,Registered Nurse,108737.19,9958.63,18801.36,35623.18,173120.36,PT
115843,Nurse Practitioner,124814.7,3444.22,5105.7,39752.94,173117.56,PT
115844,Public Relations Mgr,123576.03,0,0,49532.03,173108.06,FT
115845,Manager II,122992.04,0,1042.73,49068.43,173103.2,FT
115846,Police Officer 2,111031.78,15130.32,8382.2,38558.74,173103.04,FT
115847,Police Officer 2,115406.95,8544.15,11184.96,37960.58,173096.64,FT
115848,Architect,130126.02,0,0,42963.5,173089.52,FT
115849,Electrical Transit System Mech,81830,58776.98,600,31881.37,173088.35,FT
115850,Firefighter,111640.49,637.06,17920.82,42872.83,173071.2,FT
115851,Firefighter,112703.73,6281.98,12092.55,41991.4,173069.66,FT
115852,Manager II,122992.06,0,0,50075.88,173067.94,FT
115853,Manager II,122992.04,0,0,50075.87,173067.91,FT
115854,Manager II,122992.02,0,0,50075.86,173067.88,FT
115855,Manager II,122992.02,0,0,50075.86,173067.88,FT
115856,Manager II,122989.55,0,0,50075.36,173064.91,FT
115857,Engineer,131071.01,0,110,41883.13,173064.14,FT
115858,Attorney (Civil/Criminal),129859,0,1312.5,41881.03,173052.53,FT
115859,Attorney (Civil/Criminal),129859,0,1312.5,41881.03,173052.53,FT
115860,Police Officer 2,116584.01,4000.61,14089.57,38360.67,173034.86,FT
115861,Police Officer 2,116527.95,14021.3,4144.34,38339.31,173032.9,FT
115862,Registered Nurse,114908.9,2628.95,17282.21,38200.32,173020.38,PT
115863,Transit Supervisor,90315.6,48792.3,96,33805.13,173009.03,FT
115864,Police Officer 3,118898.01,10154.88,4378.86,39563.3,172995.05,FT
115865,Mayoral Staff XIV,123927.01,0,0,49067.21,172994.22,FT
115866,Firefighter,112703.73,0,16972.77,43289.49,172965.99,FT
115867,Firefighter,111640.52,0,18314.3,42998.84,172953.66,FT
115868,Firefighter,111733.53,1180.19,17333.1,42704.42,172951.24,FT
115869,Manager III,124154.32,0,0,48796.27,172950.59,FT
115870,"Electrl Trnst Mech, Asst Sprv",85962.14,52916.74,1130,32938.67,172947.55,FT
115871,Police Officer 3,118869.43,6645.16,8590.15,38831.33,172936.07,FT
115872,Engineer,131071.03,0,0,41861.79,172932.82,FT
115873,Engineer,131071.03,0,0,41861.79,172932.82,FT
115874,Engineer,131071.01,0,0,41861.8,172932.81,FT
115875,Engineer,131071.01,0,0,41861.79,172932.8,FT
115876,Engineer,131071.03,0,0,41861.09,172932.12,FT
115877,Engineer,131071.03,0,0,41861.09,172932.12,FT
115878,Engineer,131071.02,0,0,41861.09,172932.11,FT
115879,Landscape Architect,131071,0,0,41860.03,172931.03,FT
115880,Engineer,131071.08,0,0,41858.98,172930.06,FT
115881,Architect,131071.07,0,0,41858.98,172930.05,FT
115882,Engineer,131071.05,0,0,41858.98,172930.03,FT
115883,Engineer,131071.05,0,0,41858.98,172930.03,FT
115884,Architect,131071.05,0,0,41858.98,172930.03,FT
115885,Engineer,131071.05,0,0,41858.98,172930.03,FT
115886,Architect,131071.05,0,0,41858.98,172930.03,FT
115887,Architect,131071.04,0,0,41858.98,172930.02,FT
115888,Engineer,131071.04,0,0,41858.98,172930.02,FT
115889,Architect,131071.04,0,0,41858.98,172930.02,FT
115890,Engineer,131071.04,0,0,41858.98,172930.02,FT
115891,Engineer,131071.04,0,0,41858.98,172930.02,FT
115892,Engineer,131071.03,0,0,41858.98,172930.01,FT
115893,Engineer,131071.03,0,0,41858.98,172930.01,FT
115894,Engineer,131071.03,0,0,41858.98,172930.01,FT
115895,Engineer,131071.03,0,0,41858.98,172930.01,FT
115896,Engineer,131071.03,0,0,41858.98,172930.01,FT
115897,Engineer,131071.02,0,0,41858.98,172930,FT
115898,Engineer,131071.02,0,0,41858.98,172930,FT
115899,Engineer,131071.02,0,0,41858.98,172930,FT
115900,Engineer,131071.02,0,0,41858.98,172930,FT
115901,Engineer,131071.02,0,0,41858.98,172930,FT
115902,Engineer,131071.01,0,0,41858.98,172929.99,FT
115903,Engineer,131071.01,0,0,41858.98,172929.99,FT
115904,Engineer,131071,0,0,41858.99,172929.99,FT
115905,Engineer,131071.01,0,0,41858.98,172929.99,FT
115906,Engineer,131071.01,0,0,41858.98,172929.99,FT
115907,Engineer,131071.01,0,0,41858.98,172929.99,FT
115908,Architect,131071.01,0,0,41858.98,172929.99,FT
115909,Engineer,131071.01,0,0,41858.98,172929.99,FT
115910,Engineer,131071.01,0,0,41858.98,172929.99,FT
115911,Engineer,131071,0,0,41858.98,172929.98,FT
115912,Engineer,131071,0,0,41858.98,172929.98,FT
115913,Engineer,131071,0,0,41858.98,172929.98,FT
115914,Engineer,131071,0,0,41858.98,172929.98,FT
115915,Engineer,131071,0,0,41858.98,172929.98,FT
115916,Engineer,131071,0,0,41858.98,172929.98,FT
115917,Engineer,131071,0,0,41858.98,172929.98,FT
115918,Engineer,131071,0,0,41858.98,172929.98,FT
115919,Engineer,131071,0,0,41858.98,172929.98,FT
115920,Engineer,131071.07,0,0,41857.57,172928.64,FT
115921,Engineer,131071.04,0,0,41855.46,172926.5,FT
115922,Engineer,131071.03,0,0,41855.46,172926.49,FT
115923,Engineer,131071.01,0,0,41855.46,172926.47,FT
115924,Engineer,131071.01,0,0,41854.75,172925.76,FT
115925,Attorney (Civil/Criminal),127346.3,0,8493.74,37073.79,172913.83,PT
115926,Manager I,122403.2,0,0,50509.2,172912.4,FT
115927,Registered Nurse,107153.93,7543.61,16131.69,42057.83,172887.06,PT
115928,Registered Nurse,125260,279.58,2597.96,44742.48,172880.02,FT
115929,Senior Deputy Sheriff,104411.04,12894.66,15786.98,39779.49,172872.17,FT
115930,Sheriff's Sergeant,113866,2953.38,15581.05,40450.86,172851.29,FT
115931,Police Officer 3,118008.09,9463.75,6554.47,38818.87,172845.18,FT
115932,IS Business Analyst-Principal,125910.26,632.63,5509.14,40784.84,172836.87,FT
115933,Sergeant 3,124770.06,5604.25,2374.99,40086.59,172835.89,FT
115934,Car and Auto Painter,78672,45512.6,14697.48,33945.35,172827.43,FT
115935,Firefighter,114536.89,892.24,15370.28,42014.32,172813.73,FT
115936,Police Officer 3,118898.2,7507.96,7297.84,39104.44,172808.44,FT
115937,Diagnostic Imaging Tech II,113704,7368.85,11238.13,40496.01,172806.99,FT
115938,Registered Nurse,127533.76,282.22,1247.22,43720.74,172783.94,FT
115939,Engineer,130960.99,0,0,41819.67,172780.66,FT
115940,Registered Nurse,111113.26,5506.27,12359.25,43800.11,172778.89,FT
115941,Registered Nurse,129115,6716.25,1874.38,35066.68,172772.31,FT
115942,Deputy Sheriff,94146.29,24388.15,16435.38,37792.06,172761.88,FT
115943,Police Officer 3,117296.06,6448.04,10436.48,38576.16,172756.74,FT
115944,Deputy Sheriff,92830.86,36247.5,8074.73,35583.05,172736.14,FT
115945,Attorney (Civil/Criminal),129477,0,1312.5,41944.1,172733.6,FT
115946,Firefighter,104145.2,15259.69,10812.84,42509.01,172726.74,FT
115947,Registered Nurse,115055.73,8207.16,9068.29,40378.46,172709.64,PT
115948,Police Officer 2,116584,9529.38,7606.99,38980.38,172700.75,FT
115949,Registered Nurse,113087.09,7043.42,11602.48,40958.51,172691.5,PT
115950,Street Environ Svcs Oprs Supv,94063,36935.4,6621.59,35067.91,172687.9,FT
115951,Manager I,123684.94,0,0,48994.03,172678.97,FT
115952,Police Officer 3,118898.06,6748.78,8183.38,38831.72,172661.94,FT
115953,Attorney (Civil/Criminal),129605.6,0,1312.5,41731.94,172650.04,FT
115954,Registered Nurse,113170.4,0,16930.6,42545.17,172646.17,PT
115955,Attorney (Civil/Criminal),125830,0,5041.5,41764.64,172636.14,FT
115956,Electronic Maintenance Tech,104451.01,16556.42,12243.17,39369.02,172619.62,FT
115957,Engineer,130813.33,0,0,41805.33,172618.66,FT
115958,Firefighter,112703.73,0,17376.94,42532.62,172613.29,FT
115959,Firefighter,95756.1,29992.74,8871.85,37974.03,172594.72,FT
115960,Police Officer 3,117754.98,15294.57,1076.4,38465.91,172591.86,FT
115961,Police Officer 3,121411.09,7128.06,4705.12,39347.26,172591.53,FT
115962,Registered Nurse,113744.1,4612.67,12256.58,41976.35,172589.7,FT
115963,"Manager IV, MTA",111726,0,18012.66,42844.72,172583.38,PT
115964,Manager III,132690.03,0,0,39885.73,172575.76,FT
115965,EMT/Paramedic/Firefighter,112710,15404.5,5961.33,38486.7,172562.53,FT
115966,Electrical Transit Shop Sprv 1,115145,18703.45,187.68,38496.5,172532.63,FT
115967,Police Officer 2,113825.79,14674.65,6576.91,37448.26,172525.61,FT
115968,Registered Nurse,121300.96,0,7455.14,43751.44,172507.54,FT
115969,"Manager IV, MTA",122267.5,0,0,50239.12,172506.62,FT
115970,Maintenance Planner,108240.71,458.39,24348.13,39456.7,172503.93,FT
115971,Transit Supervisor,88054.38,42276.31,7150.08,35022.71,172503.48,FT
115972,Clinical Pharmacist,130022.71,165.29,1000,41288.22,172476.22,PT
115973,Police Officer 3,118898.11,11191.42,3549.42,38826.51,172465.46,FT
115974,Registered Nurse,128133.06,0,1527.17,42788.85,172449.08,PT
115975,Police Officer 3,123938.41,7386.95,1210.92,39893.07,172429.35,FT
115976,Firefighter,112703.71,0,16862.91,42861.2,172427.82,FT
115977,Police Officer 3,120671.11,7488.25,4330.35,39935.09,172424.8,FT
115978,Police Officer 3,118898.02,6030.62,8647.17,38831.74,172407.55,FT
115979,Manager II,122992.06,0,0,49407.32,172399.38,FT
115980,Manager II,122992.07,0,0,49407.3,172399.37,FT
115981,Manager II,122992.05,0,0,49407.3,172399.35,FT
115982,Manager II,122992.04,0,0,49407.29,172399.33,FT
115983,Manager II,122992.03,0,0,49407.29,172399.32,FT
115984,Manager II,122992.02,0,0,49407.28,172399.3,FT
115985,Manager II,122992.01,0,0,49407.29,172399.3,FT
115986,Manager II,122992.01,0,0,49407.28,172399.29,FT
115987,Manager II,122992.01,0,0,49407.28,172399.29,FT
115988,Manager II,122992,0,0,49407.28,172399.28,FT
115989,Manager II,122992,0,0,49407.28,172399.28,FT
115990,Manager II,122992,0,0,49407.28,172399.28,FT
115991,Manager II,122992,0,0,49407.28,172399.28,FT
115992,Manager II,122992,0,0,49407.28,172399.28,FT
115993,Manager II,122989.36,0,0,49406.75,172396.11,FT
115994,Registered Nurse,106529.79,9011.4,17007.68,39822.17,172371.04,PT
115995,Sheriff's Sergeant,113866,2139.38,15259.8,41092.31,172357.49,FT
115996,Firefighter,112703.73,0,16754.46,42882.24,172340.43,FT
115997,Transit Supervisor,83054.03,51061.23,5887.87,32331.41,172334.54,FT
115998,Police Officer,112164,13331.31,9393.92,37434.7,172323.93,FT
115999,Electronic Maintenance Tech,104451,22157.49,7405.23,38309,172322.72,FT
116000,Manager II,122904.01,0,0,49388.98,172292.99,FT
116001,Police Officer 3,113790.53,12941.22,5884.76,39660.84,172277.35,FT
116002,Senior Building Inspector,120696.52,4609.46,6034.88,40931.22,172272.08,FT
116003,Registered Nurse,99637.98,6165.02,29618.38,36830.8,172252.18,PT
116004,Police Officer,112164.07,12070.82,10444.16,37559.47,172238.52,FT
116005,"Ex Asst to Ex Dir, Retirement",123332.39,0,0,48902.64,172235.03,FT
116006,Police Officer,107332.32,22560.88,6542.64,35793.05,172228.89,FT
116007,Police Officer 2,116584,10171.36,7115.05,38356.8,172227.21,FT
116008,Manager II,122992.03,0,0,49234.58,172226.61,FT
116009,EMT/Paramedic/Firefighter,112710,7707.8,12305.09,39502.29,172225.18,FT
116010,Registered Nurse,109395.4,4353.34,15843.15,42612.81,172204.7,FT
116011,IS Project Director,129389.2,0,0,42802.73,172191.93,FT
116012,Firefighter,111631.63,0,17680.98,42877.34,172189.95,FT
116013,Engineer,125783.34,0,4670.93,41732.24,172186.51,FT
116014,Track Maintenance Worker,62852.58,68450.58,10933.03,29943.01,172179.2,FT
116015,Police Officer 3,118898.1,8070.66,6368.93,38833.04,172170.73,FT
116016,Police Officer 3,118186.11,11159.91,3928.98,38891.12,172166.12,FT
116017,Registered Nurse,111169.6,8473.4,15640.58,36875.71,172159.29,PT
116018,Police Officer 3,118898.16,7871.31,6055.83,39329.02,172154.32,FT
116019,Firefighter,112703.75,2383.83,14269.93,42791.38,172148.89,FT
116020,Police Officer 3,118898.15,12624.03,1763.07,38846.21,172131.46,FT
116021,Police Officer,112164,15028.24,7502.27,37434.7,172129.21,FT
116022,Manager II,122756.18,0,0,49331.55,172087.73,FT
116023,Manager I,123175.35,0,0,48885.16,172060.51,FT
116024,Registered Nurse,120440.8,335.93,10065.29,41211.32,172053.34,PT
116025,Manager II,122992.01,0,0,49050.59,172042.6,FT
116026,Registered Nurse,105042.12,10176.9,17013.03,39806.74,172038.79,PT
116027,Registered Nurse,120214.03,0,8264,43556.65,172034.68,FT
116028,Electronic Maintenance Tech,104050.41,23785.76,6259.02,37920.58,172015.77,FT
116029,"Operating Engineer, Universal",91338.03,46432.38,345.27,33898.66,172014.34,FT
116030,Police Officer,112164.03,14964.21,7440.53,37434.72,172003.49,FT
116031,Police Officer 3,104181.18,23204.86,6782.51,37809.55,171978.1,FT
116032,Senior Comm Systems Technican,126329,4799.74,0,40846.36,171975.1,FT
116033,Senior Physician Specialist,127250.25,0,7562.55,37140.79,171953.59,PT
116034,Electrical Transit Shop Sprv 1,106087.02,17108.1,9613.36,39130.04,171938.52,FT
116035,Deputy Sheriff,94191.02,35564.16,6632.96,35547.67,171935.81,FT
116036,Registered Nurse,106600.17,6920.89,17834.31,40578.77,171934.14,PT
116037,Firefighter,103133.69,19045.06,9552.67,40193.9,171925.32,FT
116038,Planner 5,128458.04,0,0,43455.13,171913.17,FT
116039,Police Officer 2,114631.03,15003.24,4326.44,37947.11,171907.82,FT
116040,Public Health Nurse,123787.2,0,5577.4,42530.59,171895.19,PT
116041,Firefighter,112703.75,2689.11,13917.29,42583.23,171893.38,FT
116042,Police Officer 2,116023.5,14070.31,3618.47,38162.61,171874.89,FT
116043,Police Officer 3,118898.12,1407.63,12706.1,38846.19,171858.04,FT
116044,Police Officer 2,116584,8262.13,8134.13,38874.99,171855.25,FT
116045,Manager II,122992,0,0,48848.58,171840.58,FT
116046,Manager II,122992.06,0,0,48845.97,171838.03,FT
116047,Manager II,122992.05,0,0,48845.97,171838.02,FT
116048,Manager II,122992.06,0,0,48845.96,171838.02,FT
116049,Manager II,122992.05,0,0,48845.95,171838,FT
116050,Manager II,122992.04,0,0,48845.96,171838,FT
116051,Manager II,122992.04,0,0,48845.95,171837.99,FT
116052,Manager II,122992.03,0,0,48845.95,171837.98,FT
116053,Manager II,122992.02,0,0,48845.95,171837.97,FT
116054,Manager II,122992.01,0,0,48845.95,171837.96,FT
116055,Manager II,122992.01,0,0,48845.95,171837.96,FT
116056,Manager II,122992.01,0,0,48845.95,171837.96,FT
116057,Manager II,122992.01,0,0,48845.94,171837.95,FT
116058,Manager II,122992.01,0,0,48845.94,171837.95,FT
116059,Manager II,122992,0,0,48845.94,171837.94,FT
116060,Manager II,122992,0,0,48845.94,171837.94,FT
116061,Manager II,122992,0,0,48845.94,171837.94,FT
116062,Registered Nurse,122686.78,5952.46,10671.98,32520.44,171831.66,PT
116063,Registered Nurse,126798.81,715.78,1907.8,42400.54,171822.93,FT
116064,Firefighter,110931.68,0,18172.52,42716.51,171820.71,FT
116065,Police Officer 2,112644.76,12218.59,9089.85,37865.33,171818.53,FT
116066,Manager II,122958.72,0,0,48838.96,171797.68,FT
116067,Police Officer 3,118453.15,7810.03,6540.86,38974.27,171778.31,FT
116068,Safety Officer,129159.27,0,961.95,41654.01,171775.23,FT
116069,Police Officer 3,123912.05,4681.68,2877.81,40300.8,171772.34,FT
116070,Communications Systems Tech,106241.75,18181.27,9196.11,38147.14,171766.27,FT
116071,Police Officer,112164.04,15902.86,6251.42,37440.94,171759.26,FT
116072,Registered Nurse,127687.89,77.25,764.33,43226.06,171755.53,FT
116073,Registered Nurse,117240.76,5317.2,16857.7,32339.71,171755.37,PT
116074,Firefighter,97962.4,20132.79,12129.96,41523.59,171748.74,FT
116075,Firefighter,111640.46,0,16793.27,43314.05,171747.78,FT
116076,Police Officer 3,117297.6,13419.82,2719.78,38307.18,171744.38,FT
116077,Police Officer 3,118655.21,8115.29,6212.92,38755.08,171738.5,FT
116078,Sheriff's Sergeant,113204.58,3026.63,15095.68,40396.2,171723.09,FT
116079,Registered Nurse,109029.68,1189.13,18140.86,43351.87,171711.54,PT
116080,Police Officer 3,118008.09,9989.94,4911.52,38797.32,171706.87,FT
116081,Registered Nurse,115174.14,7851.43,7704.23,40966.96,171696.76,PT
116082,Police Officer 3,118898.21,10913.65,3051.03,38833.09,171695.98,FT
116083,Architectural Associate 2,129994.53,0,0,41685.59,171680.12,FT
116084,Police Officer,112164.02,14210.06,7882.63,37422.34,171679.05,FT
116085,Police Officer,112164,12591.5,8146.89,38769.96,171672.35,FT
116086,Electrical Transit System Mech,81830,46331.16,9643,33857.94,171662.1,FT
116087,Registered Nurse,128645.47,0,0,43014.13,171659.6,FT
116088,"Manager IV, MTA",124255.38,0,0,47367.85,171623.23,PT
116089,Registered Nurse,120108.57,6279.3,3090.29,42144.69,171622.85,FT
116090,Police Officer 3,118898.16,13061.66,819.89,38840.99,171620.7,FT
116091,Registered Nurse,124022.75,6579.5,2662.73,38354.46,171619.44,FT
116092,Police Officer 3,118898.16,6380.76,7490.02,38839.65,171608.59,FT
116093,"Manager III, MTA",122815.13,0,0,48789.12,171604.25,FT
116094,IS Business Analyst-Principal,122355.39,0,6561.75,42680.4,171597.54,FT
116095,Police Officer 3,118898.13,679.49,12474.19,39542.06,171593.87,FT
116096,Airport Electrician,104209.21,28334.2,1966,37066.07,171575.48,FT
116097,Police Officer 3,118898.14,8254.65,5583.99,38833.11,171569.89,FT
